date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2014-12-15,Milk - Retail,L,milk and dairy,130.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2005-11-15,Potatoes - Retail,KG,cereals and tubers,40.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2005-12-15,Potatoes - Retail,KG,cereals and tubers,42.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-01-15,Potatoes - Retail,KG,cereals and tubers,48.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-02-15,Potatoes - Retail,KG,cereals and tubers,59.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-03-15,Potatoes - Retail,KG,cereals and tubers,63.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-04-15,Potatoes - Retail,KG,cereals and tubers,65.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-05-15,Potatoes - Retail,KG,cereals and tubers,69.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-06-15,Potatoes - Retail,KG,cereals and tubers,73.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-07-15,Potatoes - Retail,KG,cereals and tubers,73.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-08-15,Potatoes - Retail,KG,cereals and tubers,73.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-09-15,Potatoes - Retail,KG,cereals and tubers,57.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-10-15,Potatoes - Retail,KG,cereals and tubers,57.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-11-15,Potatoes - Retail,KG,cereals and tubers,62.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2006-12-15,Potatoes - Retail,KG,cereals and tubers,69.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-01-15,Potatoes - Retail,KG,cereals and tubers,76.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-02-15,Potatoes - Retail,KG,cereals and tubers,78.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-03-15,Potatoes - Retail,KG,cereals and tubers,80.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-04-15,Potatoes - Retail,KG,cereals and tubers,84.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-05-15,Potatoes - Retail,KG,cereals and tubers,84.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-06-15,Potatoes - Retail,KG,cereals and tubers,91.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-07-15,Potatoes - Retail,KG,cereals and tubers,86.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-08-15,Potatoes - Retail,KG,cereals and tubers,72.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-09-15,Potatoes - Retail,KG,cereals and tubers,64.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-10-15,Potatoes - Retail,KG,cereals and tubers,70.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-11-15,Potatoes - Retail,KG,cereals and tubers,74.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2007-12-15,Potatoes - Retail,KG,cereals and tubers,76.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-01-15,Potatoes - Retail,KG,cereals and tubers,80.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-02-15,Potatoes - Retail,KG,cereals and tubers,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-03-15,Potatoes - Retail,KG,cereals and tubers,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-04-15,Potatoes - Retail,KG,cereals and tubers,81.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
